iter	Passed	Remaining
465	723	828
466	724	826
467	725	824
468	726	822
469	727	820
470	728	817
471	728	815
472	729	813
473	730	810
474	731	808
475	732	806
476	733	804
477	734	801
478	734	799
479	735	797
480	736	794
481	737	792
482	738	790
483	739	788
484	740	785
485	741	783
486	741	781
487	742	779
488	743	777
489	744	775
490	745	772
491	746	770
492	747	768
493	748	766
494	748	764
495	749	761
496	750	759
497	751	757
498	752	755
499	753	753
500	754	751
501	755	749
502	756	747
503	757	745
504	758	743
505	759	741
506	760	739
507	761	737
508	762	735
509	763	733
510	764	731
511	765	729
512	765	727
513	766	725
514	767	723
515	768	721
516	769	719
517	770	717
518	771	715
519	772	713
520	773	711
521	774	709
522	775	707
523	776	705
524	777	703
525	778	701
526	778	699
527	779	697
528	780	695
529	781	693
530	782	691
531	783	689
532	784	687
533	785	685
534	786	683
535	787	681
536	788	679
537	789	677
538	790	675
539	790	673
540	791	671
541	792	669
542	793	667
543	794	665
544	795	663
545	796	662
546	797	660
547	797	658
548	798	656
549	799	654
550	800	652
551	801	650
552	802	648
553	803	646
554	804	644
555	805	642
556	805	641
557	806	639
558	807	637
559	808	635
560	809	633
561	810	631
562	811	629
563	812	627
564	813	626
565	814	624
566	815	622
567	815	620
568	816	618
569	817	616
570	818	615
571	819	613
572	820	611
573	821	609
574	822	607
575	823	605
576	824	604
577	825	602
578	826	600
579	827	599
580	828	597
581	829	595
582	830	593
583	831	591
584	832	590
585	833	588
586	834	586
587	835	585
588	836	583
589	836	581
590	837	579
591	838	578
592	839	576
593	840	574
594	841	572
595	842	571
596	843	569
597	844	567
598	844	565
599	845	563
600	846	562
601	847	560
602	848	558
603	849	557
604	850	555
605	851	553
606	852	552
607	853	550
608	854	548
609	855	546
610	856	545
611	857	543
612	857	541
613	858	539
614	859	538
615	860	536
616	861	534
617	862	532
618	863	531
619	864	529
620	865	528
621	866	526
622	867	524
623	868	523
624	869	521
625	869	519
626	870	517
627	871	516
628	872	514
629	873	512
630	874	511
631	874	509
632	875	507
633	876	506
634	877	504
635	878	502
636	879	501
637	880	499
638	881	498
639	882	496
640	883	495
641	885	493
642	886	491
643	886	490
644	887	488
645	888	486
646	889	485
647	890	483
648	891	481
649	892	480
650	892	478
651	893	477
652	894	475
653	895	473
654	896	472
655	897	470
656	898	469
657	899	467
658	900	465
659	901	464
660	902	462
661	903	461
662	903	459
663	904	457
664	905	456
665	906	454
666	907	453
667	908	451
668	909	449
669	910	448
670	911	446
671	912	445
672	913	443
673	914	442
674	915	440
675	915	438
676	916	437
677	917	435
678	918	434
679	919	432
680	920	431
681	921	429
682	921	427
683	922	426
684	923	424
685	924	423
686	925	421
687	926	420
688	927	418
689	928	417
690	929	415
691	930	413
692	931	412
693	931	410
694	932	409
695	933	407
696	934	406
697	935	404
698	936	403
699	937	401
700	938	400
701	939	398
702	940	397
703	941	395
704	942	394
705	942	392
706	943	391
707	945	389
708	946	388
709	947	386
710	948	385
711	949	383
712	950	382
713	951	381
714	952	379
715	953	378
716	954	376
717	955	375
718	956	373
719	957	372
720	958	370
721	959	369
722	960	367
723	961	366
724	962	365
725	963	363
726	964	362
727	965	360
728	966	359
729	967	357
730	968	356
731	969	354
732	970	353
733	971	351
734	971	350
735	972	348
736	973	347
737	974	345
738	975	344
739	976	343
740	977	341
741	977	340
742	978	338
743	979	337
744	980	335
745	981	334
746	982	332
747	983	331
748	984	329
749	985	328
750	986	326
751	986	325
752	987	323
753	988	322
754	989	321
755	990	319
756	991	318
757	992	316
758	992	315
759	993	313
760	994	312
761	995	311
762	996	309
763	997	308
764	998	306
765	999	305
766	1000	303
767	1001	302
768	1002	301
769	1003	299
770	1004	298
771	1005	297
772	1006	295
773	1007	294
774	1008	292
775	1009	291
776	1010	290
777	1012	288
778	1013	287
779	1014	286
